STT,Stock_code,Year,CR,QR,ITR,DSO,FATR,ATR,DAR,EAR,DER,ROS,ROA,ROE,CFR,WCTA,ARtoCA,STR,SDA,LDA,PRE,IRR,IT,CPtoAR,FAR,STDR,TDR,LogTA,Risk
1,DAN,2019,1.506128148,1.177626139,4.632021079,216.6407809,2.405826641,0.641761674,0.443795336,0.556204664,2.553050376,0.05841231,0.037486782,0.067397461,0.221656882,0.213464525,0.599644673,3.691904239,0.421759837,0.022035499,0.296434514,0.370268735,2.700741122,0.982347359,0.266753083,0.95034761,0.443795336,27.38861154,0
2,DAN,2020,3.647413531,2.927267151,4.465721594,175.4588083,2.135173381,0.553379023,0.172072023,0.827927977,0.587581755,0.078580811,0.043484972,0.052522651,0.711819209,0.455545803,0.423847604,1.889647201,0.172072023,0,0.190054705,0.412025129,2.427036437,1.130582714,0.259172875,1,0.172072023,27.30516748,0
3,DAN,2021,2.405084318,2.025809926,4.695759043,116.178422,2.907912451,0.522605022,0.293436581,0.706563419,1.230434083,0.122434441,0.063984854,0.090557835,0.390302729,0.412303138,0.235701109,2.191379916,0.293436581,0,0.33975469,0.378097778,2.644818505,1.769528096,0.179718279,1,0.293436581,27.51052597,0
4,DAN,2022,2.380485319,2.002519813,6.372318671,148.6449417,3.959878111,0.521120471,0.395507309,0.604492691,2.011042651,0.088089123,0.045905045,0.075939786,0.351758013,0.298689718,0.412041933,2.64975,0.216365733,0.179141576,0.319499491,0.308307127,3.243518926,1.249860893,0.131600129,0.547058748,0.395507309,27.7026421,0
5,DAN,2024,1.417061944,1.211113407,6.941229423,236.4024842,5.214157232,0.35847712,0.520672105,0.479327895,3.969150383,0.122336519,0.043854843,0.091492366,0.186260873,0.104584397,0.653379414,2.732717168,0.25076466,0.269907445,0.468433119,0.303597979,3.29382957,0.732665182,0.068750731,0.481617236,0.520672105,28.09860347,1
6,AAA,2017,1.076307292,0.80672686,7.596240864,86.07417627,1.7729017,0.890870557,0.64490505,0.35509495,3.530128306,0.064601269,0.057551369,0.162073182,0.255965786,0.033196596,0.448673915,4.876512245,0.43503832,0.20986673,0.390024745,0.152500053,6.557374758,3.660591499,0.502492923,0.67457732,0.64490505,29.15188071,1
7,AAA,2018,1.244304672,0.975208788,9.294505127,73.41055698,3.646898271,1.065035142,0.604172645,0.395827355,2.65707781,0.026456352,0.028176945,0.071184935,0.201326895,0.104030907,0.404270684,4.683895018,0.425824467,0.178348178,0.143507798,0.117562605,8.506106156,4.550287866,0.292038621,0.704805936,0.604172645,29.64980549,1
8,AAA,2019,1.53596169,1.158563874,7.595766839,81.79739196,4.458331775,1.161603127,0.592456103,0.407543897,2.764145227,0.052922564,0.061475016,0.150842686,0.090116349,0.217180342,0.41825122,5.41954032,0.405216168,0.187239936,0.344860768,0.148674878,6.726085917,3.95133811,0.260546587,0.683959816,0.592456103,29.7088932,0
9,AAA,2020,1.191690332,0.940735966,7.856121642,81.907324,3.199210545,0.867999762,0.53042737,0.46957263,2.049717025,0.038069818,0.033044593,0.070371633,0.255435808,0.084395028,0.371252521,3.354189453,0.440267524,0.090159846,0.140207071,0.142342636,7.025301964,3.984987136,0.271316861,0.830024145,0.53042737,29.77922051,1
10,AAA,2021,1.631339671,1.327475656,13.18850003,49.82100399,6.261310884,1.314149051,0.455080951,0.544919049,1.395423876,0.024642145,0.032383452,0.059428005,0.605717595,0.207029879,0.335312613,4.029601678,0.327921543,0.127159408,0.124098872,0.084226245,11.87278376,6.595345375,0.209884012,0.720578487,0.455080951,29.93455842,0
11,AAA,2022,1.764787124,1.206514529,8.555260698,37.48716254,7.371942382,1.41857499,0.428373373,0.571626627,1.209771333,0.007658738,0.010864495,0.019006278,0.51239263,0.227150297,0.277956564,4.006204547,0.297011142,0.131362231,0.048994681,0.126026764,7.934822503,9.030551288,0.192428931,0.693346414,0.428373373,30.01018131,0
12,AAA,2023,1.520341886,1.311170997,16.15518853,34.82558831,6.273378189,1.090193023,0.48513843,0.51486157,1.470036485,0.02448441,0.026692733,0.051844486,0.651600601,0.16787225,0.212069206,3.303435517,0.322619137,0.162519293,0.096444703,0.067896499,14.72829988,9.55509458,0.173780855,0.665004289,0.48513843,30.08059808,0
13,AAA,2024,1.555044785,1.243752828,9.940362341,51.40633614,4.210264433,0.928785083,0.547052854,0.452947146,1.970296661,0.025006961,0.023226092,0.051277709,0.585471914,0.166599289,0.280253471,3.345165159,0.300154678,0.246898176,0.13437024,0.113863439,8.782450359,6.273208194,0.220600178,0.548675829,0.547052854,30.25338383,1
14,AAM,2017,26.03906733,19.76472859,4.773658094,88.39213088,6.72740842,0.897579261,0.04215124,0.95784876,0.083916787,0.005011604,0.004498312,0.004696266,1.811494631,0.750363475,0.278557327,1.786945479,0.029967709,0.012183531,0.029668026,0.230056778,4.346753042,3.760043917,0.133421253,0.710956754,0.04215124,26.25094973,0
